#Date/Time of Update: 2017-05-02 3:46:42 PM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location
,29-03-17,7:30PM,93,CHA,Charlotte,Hornets,81,TOR,Toronto,Raptors,Air Canada Centre
,29-03-17,7:30PM,92,MIA,Miami,Heat,83,NYK,New York,Knicks,Madison Square Garden
,29-03-17,8:00PM,87,IND,Indiana,Pacers,107,MEM,Memphis,Grizzlies,FedEx Forum
,29-03-17,8:00PM,108,DAL,Dallas,Mavericks,110,NOP,New Orleans,Pelicans,Smoothie King Center
,29-03-17,9:30PM,101,GSW,Golden State,Warriors,106,SAS,San Antonio,Spurs,AT&T Center
,29-03-17,10:30PM,94,WAS,Washington,Wizards,102,LAC,Los Angeles,Clippers,Staples Center
,29-03-17,10:30PM,98,UTA,Utah,Jazz,103,SAC,Sacramento,Kings,Sleep Train Arena
,30-03-17,7:30PM,84,BRO,Brooklyn,Nets,88,DET,Detroit,Pistons,Palace of Auburn Hills
,30-03-17,8:00PM,86,CLE,Cleveland,Cavaliers,89,CHI,Chicago,Bulls,United Center
,30-03-17,8:00PM,105,LAL,Los Angeles,Lakers,100,MIN,Minnesota,Timberwolves,Target Center
,30-03-17,10:00PM,102,LAC,Los Angeles,Clippers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,30-03-17,10:30PM,109,HOU,Houston,Rockets,97,POR,Portland,Trail Blazers,Moda Center
,31-03-17,7:00PM,87,IND,Indiana,Pacers,81,TOR,Toronto,Raptors,Air Canada Centre
,31-03-17,7:00PM,99,DEN,Denver,Nuggets,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,31-03-17,7:30PM,85,PHI,Philadelphia,76ers,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,31-03-17,7:30PM,95,ORL,Orlando,Magic,82,BOS,Boston,Celtics,TD Garden
,31-03-17,8:00PM,88,DET,Detroit,Pistons,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
