#Date/Time of Update: 2017-05-02 3:46:42 PM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location
,04-03-17,8:30PM,102,LAC,Los Angeles,Clippers,89,CHI,Chicago,Bulls,United Center
,04-03-17,9:00PM,93,CHA,Charlotte,Hornets,99,DEN,Denver,Nuggets,Pepsi Center
,04-03-17,9:00PM,107,MEM,Memphis,Grizzlies,109,HOU,Houston,Rockets,Toyota Center
,04-03-17,9:00PM,100,MIN,Minnesota,Timberwolves,106,SAS,San Antonio,Spurs,AT&T Center
,04-03-17,10:00PM,84,BRO,Brooklyn,Nets,97,POR,Portland,Trail Blazers,Moda Center
,05-03-17,1:00PM,87,IND,Indiana,Pacers,91,ATL,Atlanta,Hawks,Philips Arena
,05-03-17,3:30PM,101,GSW,Golden State,Warriors,83,NYK,New York,Knicks,Madison Square Garden
,05-03-17,5:00PM,82,BOS,Boston,Celtics,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,05-03-17,5:00PM,95,ORL,Orlando,Magic,94,WAS,Washington,Wizards,Verizon Center
,05-03-17,6:00PM,98,UTA,Utah,Jazz,103,SAC,Sacramento,Kings,Sleep Train Arena
,05-03-17,8:30PM,96,OKL,Oklahoma City,Thunder,108,DAL,Dallas,Mavericks,American Airlines Center
,05-03-17,9:30PM,110,NOP,New Orleans,Pelicans,105,LAL,Los Angeles,Lakers,Staples Center
,06-03-17,7:00PM,90,MIL,Milwaukee,Bucks,85,PHI,Philadelphia,76ers,Wells Fargo Center
,06-03-17,7:00PM,83,NYK,New York,Knicks,95,ORL,Orlando,Magic,Amway Center
,06-03-17,7:00PM,92,MIA,Miami,Heat,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,06-03-17,7:30PM,101,GSW,Golden State,Warriors,91,ATL,Atlanta,Hawks,Philips Arena
,06-03-17,7:30PM,89,CHI,Chicago,Bulls,88,DET,Detroit,Pistons,Palace of Auburn Hills
,06-03-17,8:00PM,84,BRO,Brooklyn,Nets,107,MEM,Memphis,Grizzlies,FedEx Forum
,06-03-17,8:00PM,87,IND,Indiana,Pacers,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,06-03-17,8:30PM,109,HOU,Houston,Rockets,106,SAS,San Antonio,Spurs,AT&T Center
,06-03-17,9:00PM,103,SAC,Sacramento,Kings,99,DEN,Denver,Nuggets,Pepsi Center
,06-03-17,9:00PM,110,NOP,New Orleans,Pelicans,98,UTA,Utah,Jazz,Vivint Smart Home Arena
,06-03-17,10:30PM,82,BOS,Boston,Celtics,102,LAC,Los Angeles,Clippers,Staples Center
,07-03-17,8:00PM,97,POR,Portland,Trail Blazers,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,07-03-17,8:30PM,105,LAL,Los Angeles,Lakers,108,DAL,Dallas,Mavericks,American Airlines Center
,07-03-17,9:00PM,94,WAS,Washington,Wizards,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,08-03-17,7:00PM,89,CHI,Chicago,Bulls,95,ORL,Orlando,Magic,Amway Center
,08-03-17,7:30PM,84,BRO,Brooklyn,Nets,91,ATL,Atlanta,Hawks,Philips Arena
,08-03-17,7:30PM,93,CHA,Charlotte,Hornets,92,MIA,Miami,Heat,American Airlines Arena
,08-03-17,8:00PM,83,NYK,New York,Knicks,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,08-03-17,8:00PM,81,TOR,Toronto,Raptors,110,NOP,New Orleans,Pelicans,Smoothie King Center
,08-03-17,8:00PM,98,UTA,Utah,Jazz,109,HOU,Houston,Rockets,Toyota Center
,08-03-17,8:00PM,102,LAC,Los Angeles,Clippers,100,MIN,Minnesota,Timberwolves,Target Center
,08-03-17,8:00PM,88,DET,Detroit,Pistons,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,08-03-17,8:30PM,103,SAC,Sacramento,Kings,106,SAS,San Antonio,Spurs,AT&T Center
,08-03-17,9:00PM,94,WAS,Washington,Wizards,99,DEN,Denver,Nuggets,Pepsi Center
,08-03-17,10:30PM,82,BOS,Boston,Celtics,101,GSW,Golden State,Warriors,Oracle Arena
,09-03-17,7:30PM,86,CLE,Cleveland,Cavaliers,88,DET,Detroit,Pistons,Palace of Auburn Hills
,09-03-17,8:00PM,102,LAC,Los Angeles,Clippers,107,MEM,Memphis,Grizzlies,FedEx Forum
,09-03-17,8:00PM,106,SAS,San Antonio,Spurs,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,09-03-17,10:00PM,85,PHI,Philadelphia,76ers,97,POR,Portland,Trail Blazers,Moda Center
,09-03-17,10:30PM,105,LAL,Los Angeles,Lakers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,10-03-17,7:00PM,95,ORL,Orlando,Magic,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,10-03-17,8:00PM,109,HOU,Houston,Rockets,89,CHI,Chicago,Bulls,United Center
,10-03-17,8:00PM,87,IND,Indiana,Pacers,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,10-03-17,8:00PM,101,GSW,Golden State,Warriors,100,MIN,Minnesota,Timberwolves,Target Center
,10-03-17,8:00PM,81,TOR,Toronto,Raptors,91,ATL,Atlanta,Hawks,Philips Arena
,10-03-17,9:00PM,82,BOS,Boston,Celtics,99,DEN,Denver,Nuggets,Pepsi Center
,10-03-17,9:00PM,84,BRO,Brooklyn,Nets,108,DAL,Dallas,Mavericks,American Airlines Center
,10-03-17,10:30PM,94,WAS,Washington,Wizards,103,SAC,Sacramento,Kings,Sleep Train Arena
,11-03-17,3:00PM,98,UTA,Utah,Jazz,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,11-03-17,3:30PM,85,PHI,Philadelphia,76ers,102,LAC,Los Angeles,Clippers,Staples Center
,11-03-17,5:00PM,83,NYK,New York,Knicks,88,DET,Detroit,Pistons,Palace of Auburn Hills
,11-03-17,7:00PM,110,NOP,New Orleans,Pelicans,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,11-03-17,7:00PM,86,CLE,Cleveland,Cavaliers,95,ORL,Orlando,Magic,Amway Center
,11-03-17,8:00PM,100,MIN,Minnesota,Timberwolves,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,11-03-17,8:00PM,81,TOR,Toronto,Raptors,92,MIA,Miami,Heat,American Airlines Arena
,11-03-17,8:30PM,101,GSW,Golden State,Warriors,106,SAS,San Antonio,Spurs,AT&T Center
,11-03-17,9:00PM,91,ATL,Atlanta,Hawks,107,MEM,Memphis,Grizzlies,FedEx Forum
,11-03-17,9:00PM,104,PHX,Phoenix,Suns,108,DAL,Dallas,Mavericks,American Airlines Center
,11-03-17,10:00PM,94,WAS,Washington,Wizards,97,POR,Portland,Trail Blazers,Moda Center
