shoot player,LAYUP %,FG%,3FG%,MID%,FGA
LeBron James,0.999886105,0.547619048,0.362573099,0.333333333,1344
Kevin Durant,0.999943008,0.537037037,0.375,0.480916031,1026
Kawhi Leonard,0.999904945,0.484756098,0.379844961,0.474489796,1312
Gordon Hayward,0.999923956,0.472270364,0.398395722,0.392156863,1154
Paul George,0.999923902,0.461424332,0.393939394,0.478991597,1348
Andrew Wiggins,0.999904963,0.452168367,0.356401384,0.408088235,1568
Carmelo Anthony,0.999942905,0.433093525,0.35952381,0.464566929,1390
Marcus Morris,1,0.418073486,0.330532213,0.429378531,1007
