shoot player,LAYUP %,FG%,3FG%,MID%,FGA
Bradley Beal,0.999961962,0.482210447,0.403985507,0.451388889,1321
CJ McCollum,0.999961935,0.480222068,0.420454545,0.458498024,1441
Klay Thompson,1,0.468023256,0.414219474,0.401709402,1376
DeMar DeRozan,0.999942922,0.466666667,0.266129032,0.394029851,1545
Jimmy Butler,0.99994294,0.455271565,0.366935484,0.395721925,1252
Jordan Clarkson,0.999942912,0.446211413,0.328651685,0.430107527,1069
James Harden,0.999980971,0.439947781,0.346560847,0.418918919,1532
Devin Booker,0.999961948,0.423776224,0.362962963,0.417777778,1430
Eric Gordon,0.999980965,0.406311637,0.372163389,0.279069767,1014
